calendar_yearmonth,Year_Name,Month_Name,SAID,number_of_Cases,number_of_escalation,number_of_parts_used,number_of_single_visit_missed,number_of_response_missed
201207,2012,7,102372259838,1,0,0,0,0
201112,2011,12,102372809530,1,0,0,0,0
201201,2012,1,102372809530,2,0,0,0,0
201207,2012,7,102373838484,1,0,0,0,0
201207,2012,7,102396885698,4,0,2,0,0
201206,2012,6,102373838484,1,0,0,0,0
201204,2012,4,102397412170,1,0,0,0,0
201203,2012,3,107553707380,2,0,2,0,0
201210,2012,10,102390922100,1,0,0,0,0
201206,2012,6,102366411713,1,0,1,0,0
201204,2012,4,102405408285,1,0,0,0,0
201111,2011,11,102407203587,2,0,1,0,0
201112,2011,12,102366411713,2,0,1,0,0
201112,2011,12,102438971810,1,0,1,0,0
201210,2012,10,107638448688,1,0,0,0,0
201204,2012,4,107553706104,1,0,1,0,0
201204,2012,4,102405408345,1,0,0,0,0
201202,2012,2,102405713551,2,0,2,0,0
201206,2012,6,102405713551,1,0,1,0,0
201204,2012,4,102379616017,1,0,1,0,0
201210,2012,10,102405809630,2,0,0,0,0
201209,2012,9,102405408345,4,0,0,0,0
201209,2012,9,102405771749,1,0,1,0,0
201204,2012,4,102407542740,2,0,2,0,0
201203,2012,3,102406960808,2,0,2,0,0
201208,2012,8,102407542740,2,0,0,0,0
201203,2012,3,102362933337,1,0,2,0,0
201111,2011,11,102427206587,1,0,0,0,0
201204,2012,4,102409689341,3,0,1,0,0
201112,2011,12,102409689341,3,0,5,0,0
201203,2012,3,102345295769,5,0,0,0,0
201205,2012,5,102345295769,1,0,1,0,0
201208,2012,8,102345295769,15,0,0,0,0
201210,2012,10,107633842720,2,1,1,0,0
201208,2012,8,107590874070,1,0,0,0,0
201209,2012,9,107640439239,3,1,5,0,0
201206,2012,6,102361896479,5,0,5,0,0
201202,2012,2,102381617943,1,0,0,0,0
201201,2012,1,102423689904,33,0,1,0,0
201206,2012,6,102423689904,1,1,0,0,0
201202,2012,2,102423689904,3,1,1,0,0
201210,2012,10,107597836670,1,0,0,0,0
201201,2012,1,102369733937,1,1,1,0,0
201301,2013,1,102598222079,3,0,5,0,1
201302,2013,2,102598335607,1,0,1,0,0
201304,2013,4,102598335607,2,0,0,0,0
201303,2013,3,102598335607,1,0,0,0,0
201303,2013,3,102598635025,2,0,2,0,0
201211,2012,11,107180945725,11,0,2,0,0
201212,2012,12,102598222079,1,0,0,0,0
201212,2012,12,102598335607,1,0,0,0,0
201301,2013,1,102598335607,1,0,0,0,0
201304,2013,4,102598613609,2,0,0,0,0
201302,2013,2,102599047738,1,0,1,0,0
201207,2012,7,107607076009,1,0,0,0,0
201204,2012,4,102388359409,1,0,1,0,0
201210,2012,10,107616875775,1,0,1,0,0
201207,2012,7,102445008956,1,0,3,0,0
201204,2012,4,102373779190,1,0,0,0,0
201208,2012,8,107550529328,3,0,1,0,0
201207,2012,7,102397258621,5,1,0,0,0
201205,2012,5,102396952561,3,0,0,0,0
201111,2011,11,102397258621,1,0,1,0,0
201112,2011,12,102372809180,3,0,3,0,0
201203,2012,3,107555181410,1,0,1,0,0
201111,2011,11,102438688600,1,0,0,0,0
201206,2012,6,102405376770,2,0,3,0,0
