renewal_date,status,SAID,Chan.Prof
20130801,Loss,101802393250,Direct
20130801,Loss,101802457168,Indirect
20130801,Loss,101802539570,Indirect
20130601,Converted,101803264030,Direct
20130801,Loss,101803097358,Indirect
20130801,Converted,101803209030,Direct
20130801,Loss,101804134216,Direct
20130401,Loss,101804197487,Direct
20130801,Loss,101804221820,Direct
20130801,Loss,101804260560,Indirect
20130801,Loss,101804748071,Direct
20130801,Loss,101804750895,Direct
20130801,Converted,101804754456,Direct
20130801,Loss,101804797566,Indirect
20130801,Loss,101804830482,Indirect
20130801,Converted,101804855157,Direct
20130801,Loss,101804882875,Indirect
20130701,Converted,101804880340,Direct
20130801,Loss,101804922480,Direct
20130801,Converted,101804989142,Direct
20130801,Loss,101798786845,Direct
20130801,Loss,101805579245,Indirect
20130801,Loss,101805604701,Direct
20130801,Loss,101805620031,Indirect
20130801,Loss,101805623510,Indirect
20130801,Loss,101805735099,Indirect
20130801,Loss,101805736851,Indirect
20130801,Loss,101800068391,Direct
20130712,Loss,101806921190,Indirect
20130702,Loss,101806948450,Indirect
20130702,Loss,101806948510,Indirect
20130702,Loss,101806952539,Indirect
20130601,Loss,101808079017,Direct
20130801,Loss,101807829924,Indirect
20130801,Loss,101807966176,Indirect
20130801,Loss,101808142900,Indirect
20130801,Loss,101808269918,Direct
20130801,Converted,101800932872,Direct
20130801,Loss,101808498808,Direct
20130418,Loss,101808951828,Direct
20130801,Loss,101809315939,Indirect
20130801,Loss,101809415397,Indirect
20130801,Loss,101809679877,Direct
20130801,Loss,101809739183,Indirect
20130720,Loss,101810693164,Direct
20130801,Loss,101810008850,Indirect
20130801,Loss,101810596834,Indirect
20130801,Loss,101810626564,Indirect
20130801,Loss,101810784850,Indirect
20130801,Loss,101810648040,Direct
20130801,Loss,101810657903,Indirect
20130801,Loss,101810658676,Indirect
20130801,Loss,101810752688,Indirect
20130801,Loss,101810655838,Indirect
20130801,Loss,101810670275,Indirect
20130801,Loss,101810669504,Indirect
20130801,Loss,101810673463,Indirect
20130801,Loss,101810826820,Indirect
20130801,Loss,101810827653,Direct
20130801,Converted,101810829505,Indirect
20130801,Converted,101810787178,Indirect
20130801,Loss,101810832045,Indirect
20130801,Loss,101811628720,Direct
20130801,Loss,101810967153,Direct
20130801,Loss,101810993179,Indirect
20130501,Converted,101811689526,Direct
20130501,Loss,101811713970,Direct
20130801,Converted,101811736639,Direct
20130701,Loss,101812040911,Direct
20130801,Loss,101812102813,Direct
20130801,Loss,101812310300,Indirect
20130801,Loss,101812718744,Indirect
20130801,Loss,101813562920,Indirect
20130801,Loss,101758880653,Direct
20130801,Loss,101813564585,Indirect
20130801,Loss,101813572975,Indirect
20130801,Loss,101813577889,Unknown
20130801,Loss,101813581738,Indirect
20130801,Converted,101813603078,Indirect
20130715,Loss,101813619406,Direct
20130801,Loss,101832377753,Direct
20130701,Converted,101758880653,Direct
20130801,Converted,101816952260,Direct
20130801,Loss,101815969553,Indirect
20130801,Loss,101816090662,Direct
20130801,Loss,101817103220,Indirect
20130418,Loss,101817805063,Direct
20130801,Loss,101817506811,Indirect
20130418,Loss,101817805583,Direct
20130401,Loss,101819663526,Unknown
20130401,Loss,101819663696,Direct
20130401,Loss,101819663756,Unknown
20130401,Loss,101819670963,Unknown
20130801,Loss,101820107336,Indirect
20130613,Loss,101820612979,Indirect
20130801,Loss,101821884540,Direct
20130601,Loss,101822389273,Direct
20130801,Loss,101795563777,Indirect
20130801,Loss,101822974333,Direct
20130801,Loss,101823763006,Indirect
20130801,Loss,101825001016,Indirect
20130401,Converted,101825520101,Unknown
20130401,Loss,101827553211,Unknown
